Loan_ID,Customer_ID,Age,Employment_Type,Monthly_Income,Location,Credit_Score,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Monthly_Repayment,Amount_Repaid,Outstanding_Amount,Loan_Status,Days_Past_Due,DTIR,LTIR,DTI Score,Credit Score,DPD Score,LTI Score,Employement Type Score,Weigthed Result,Result
LOAN000016,CUST00016,56,Salaried,1389974,Port Harcourt,850,Emergency,467146,8.06,12,42066.5,266034.05,201111.95,Active,0,3%,34%,1,1,1,1,1,5,Low Risk
LOAN000017,CUST00017,54,Salaried,90845,Lagos,523,Personal,811225,22.57,18,55239.92,605133.96,206091.04,Active,10,61%,893%,3,3,1,3,1,11,Medium Risk
LOAN000018,CUST00018,53,Self-employed,1069195,Abuja,503,Education,1645098,15.65,12,158546.32,1639773.6,5324.4,Active,30,15%,154%,1,3,1,2,2,9,Medium Risk
LOAN000019,CUST00019,30,Self-employed,1156612,Port Harcourt,414,Emergency,937384,24.29,36,32363.18,761773.62,175610.38,Delinquent,75,3%,81%,1,3,5,1,2,12,High Risk
LOAN000020,CUST00020,22,Self-employed,1458629,Port Harcourt,673,Personal,968762,22.99,24,49645.02,340562.65,628199.35,Active,10,3%,66%,1,2,1,1,2,7,Low Risk
LOAN000021,CUST00021,32,Salaried,1283772,Lagos,670,Personal,1284048,9.4,6,234124.75,1247503.96,36544.04,Delinquent,34,18%,100%,1,2,5,2,1,11,Medium Risk
LOAN000022,CUST00022,64,Salaried,742958,Kano,613,Emergency,549131,10.57,24,25298.92,392796.43,156334.57,Active,10,3%,74%,1,2,1,1,1,6,Low Risk
LOAN000023,CUST00023,40,Self-employed,559602,Ibadan,563,Emergency,1743443,13.14,6,328755.24,534266.61,1209176.39,Active,30,59%,312%,3,3,1,3,2,12,High Risk
LOAN000024,CUST00024,24,Self-employed,1029421,Abuja,776,Business,163605,18.47,6,32303.81,100094.91,63510.09,Active,20,3%,16%,1,1,1,1,2,6,Low Risk
LOAN000025,CUST00025,46,Salaried,448896,Kano,438,Personal,343983,13.44,18,21678.57,293446.91,50536.09,Active,0,5%,77%,1,3,1,1,1,7,Low Risk
LOAN000026,CUST00026,28,Self-employed,156091,Ibadan,603,Emergency,1183695,21.72,6,240132.26,1002856.22,180838.78,Defaulted,120,154%,758%,3,2,11,3,2,21,High Risk
LOAN000027,CUST00027,34,Salaried,1059481,Ibadan,723,Education,891042,23.05,12,91368.93,487331.72,403710.28,Active,30,9%,84%,1,1,1,1,1,5,Low Risk
LOAN000028,CUST00028,60,Self-employed,937110,Ibadan,761,Business,1581980,24.91,36,54890.31,1675791.19,0,Closed,0,6%,169%,1,1,1,2,2,0,Loan Closed
LOAN000029,CUST00029,21,Salaried,448244,Lagos,612,Emergency,172648,16.58,36,5590.92,86019.23,86628.77,Active,20,1%,39%,1,2,1,1,1,6,Low Risk
LOAN000030,CUST00030,22,Unemployed,1104553,Kano,767,Personal,1163852,8.15,36,34964.05,988551.48,175300.52,Active,10,3%,105%,1,1,1,2,3,8,Medium Risk
LOAN000031,CUST00031,57,Self-employed,1466023,Lagos,627,Emergency,896778,7.4,36,26753.88,543669.63,353108.37,Active,0,2%,61%,1,2,1,1,2,7,Low Risk
LOAN000032,CUST00032,33,Salaried,1428611,Port Harcourt,506,Emergency,1146354,11.33,18,70901.99,479290.04,667063.96,Active,20,5%,80%,1,3,1,1,1,7,Low Risk
LOAN000033,CUST00033,22,Self-employed,324471,Kano,812,Business,679139,14.14,6,129194.88,674899.64,4239.36,Active,0,40%,209%,2,1,1,3,2,9,Medium Risk
LOAN000034,CUST00034,46,Salaried,1110917,Kano,770,Education,781924,22.62,12,79899.6,569551.07,212372.93,Active,10,7%,70%,1,1,1,1,1,5,Low Risk
LOAN000035,CUST00035,60,Unemployed,1332781,Lagos,572,Business,1742611,18.08,6,342945.84,1496015.52,246595.48,Active,20,26%,131%,1,3,1,2,3,10,Medium Risk
LOAN000036,CUST00036,63,Salaried,604625,Port Harcourt,834,Business,274470,19.85,12,27412.69,235610.18,38859.82,Active,10,5%,45%,1,1,1,1,1,5,Low Risk
LOAN000037,CUST00037,23,Self-employed,1491785,Ibadan,837,Education,603614,15.11,18,38601.12,446222.97,157391.03,Defaulted,96,3%,40%,1,1,11,1,2,16,High Risk
LOAN000038,CUST00038,53,Salaried,142456,Ibadan,748,Personal,1667154,7.62,18,99677.29,0,1667154,Active,30,70%,1170%,3,1,1,3,1,9,Medium Risk
LOAN000039,CUST00039,55,Salaried,284616,Kano,614,Business,1902008,18.82,12,188330.49,1476175.27,425832.73,Active,20,66%,668%,3,2,1,3,1,10,Medium Risk
LOAN000040,CUST00040,61,Salaried,951328,Abuja,411,Personal,696464,12.29,6,130343.24,541520.42,154943.58,Delinquent,44,14%,73%,1,3,5,1,1,11,Medium Risk
LOAN000041,CUST00041,28,Self-employed,791717,Abuja,692,Emergency,1904164,22.49,36,64789.18,1302635.61,601528.39,Delinquent,46,8%,241%,1,2,5,3,2,13,High Risk
LOAN000042,CUST00042,60,Salaried,101980,Abuja,587,Education,1988790,11.64,24,92511.88,2373358.77,0,Closed,0,91%,1950%,3,3,1,3,1,0,Loan Closed
LOAN000043,CUST00043,30,Self-employed,383862,Ibadan,589,Education,276692,12.65,6,51948.92,140407.89,136284.11,Delinquent,45,14%,72%,1,3,5,1,2,12,High Risk
LOAN000044,CUST00044,60,Self-employed,690031,Abuja,689,Emergency,1877296,9.55,6,342762.96,1923516.22,0,Closed,0,50%,272%,3,2,1,3,2,0,Loan Closed
LOAN000045,CUST00045,61,Salaried,738415,Kano,711,Education,195585,24.34,18,13510.58,115604.81,79980.19,Active,30,2%,26%,1,1,1,1,1,5,Low Risk
LOAN000046,CUST00046,40,Salaried,107882,Port Harcourt,766,Emergency,597807,8.57,18,36057.73,465765.34,132041.66,Active,30,33%,554%,2,1,1,3,1,8,Medium Risk
LOAN000047,CUST00047,63,Unemployed,1321312,Ibadan,610,Personal,292526,12.7,36,9157.69,157783.86,134742.14,Active,0,1%,22%,1,2,1,1,3,8,Medium Risk
LOAN000048,CUST00048,60,Unemployed,1140351,Port Harcourt,474,Education,1179215,18.74,12,116683.32,745697.31,433517.69,Active,0,10%,103%,1,3,1,2,3,10,Medium Risk
LOAN000049,CUST00049,38,Self-employed,1441224,Ibadan,681,Education,1559434,23,36,53280.66,1308109.51,251324.49,Active,30,4%,108%,1,2,1,2,2,8,Medium Risk
LOAN000050,CUST00050,57,Salaried,1212687,Kano,621,Education,931739,18.3,24,45926.97,700233.57,231505.43,Active,10,4%,77%,1,2,1,1,1,6,Low Risk
LOAN000051,CUST00051,47,Salaried,901601,Ibadan,599,Emergency,50851,11.08,12,4707.11,16546.34,34304.66,Active,20,1%,6%,1,3,1,1,1,7,Low Risk
LOAN000052,CUST00052,50,Salaried,1466893,Kano,553,Education,1042343,20.87,12,104990,674589.43,367753.57,Active,20,7%,71%,1,3,1,1,1,7,Low Risk
LOAN000053,CUST00053,27,Self-employed,245847,Lagos,698,Personal,1625250,9.7,18,99049.96,1140298.62,484951.38,Active,10,40%,661%,2,2,1,3,2,10,Medium Risk
LOAN000054,CUST00054,47,Unemployed,563472,Ibadan,670,Business,1331934,21.99,6,270804.38,1598320.8,0,Closed,0,48%,236%,3,2,1,3,3,0,Loan Closed
LOAN000055,CUST00055,24,Salaried,855261,Ibadan,641,Business,561672,7.95,6,101054.15,464651.65,97020.35,Delinquent,86,12%,66%,1,2,5,1,1,10,Medium Risk
LOAN000056,CUST00056,47,Self-employed,418861,Abuja,646,Emergency,1509432,15.36,6,290213.46,263197.6,1246234.4,Active,0,69%,360%,3,2,1,3,2,11,Medium Risk
LOAN000057,CUST00057,53,Salaried,1450011,Ibadan,850,Business,1222151,16.91,24,59534.03,938696.37,283454.63,Active,30,4%,84%,1,1,1,1,1,5,Low Risk
LOAN000058,CUST00058,49,Salaried,1045464,Abuja,686,Education,1626590,9.94,18,99348.5,1126074.77,500515.23,Delinquent,64,10%,156%,1,2,5,2,1,11,Medium Risk
LOAN000059,CUST00059,26,Salaried,972479,Abuja,509,Business,649215,9.69,18,39562.44,480150.63,169064.37,Active,0,4%,67%,1,3,1,1,1,7,Low Risk
LOAN000060,CUST00060,44,Self-employed,853283,Port Harcourt,740,Emergency,1531468,9.28,24,69732.84,1673659.97,0,Closed,0,8%,179%,1,1,1,2,2,0,Loan Closed
LOAN000061,CUST00061,54,Salaried,921941,Ibadan,540,Emergency,1796699,13.4,36,56596.02,1773898.14,22800.86,Defaulted,92,6%,195%,1,3,11,2,1,18,High Risk
LOAN000062,CUST00062,52,Unemployed,62364,Kano,481,Business,676236,20.07,24,33831.52,791763,0,Closed,0,54%,1084%,3,3,1,3,3,0,Loan Closed
LOAN000063,CUST00063,64,Salaried,1073891,Abuja,850,Emergency,964014,14.71,24,46075.85,892732.04,71281.96,Active,30,4%,90%,1,1,1,1,1,5,Low Risk
LOAN000064,CUST00064,23,Unemployed,317654,Ibadan,582,Business,1170138,5.54,24,51456.82,529884.24,640253.76,Active,0,16%,368%,1,3,1,3,3,11,Medium Risk
LOAN000065,CUST00065,42,Salaried,1018251,Port Harcourt,589,Emergency,595587,12.58,12,55875.99,464495.57,131091.43,Active,20,5%,58%,1,3,1,1,1,7,Low Risk
LOAN000066,CUST00066,32,Self-employed,579051,Lagos,658,Personal,1036304,5.39,36,30337.8,295140.39,741163.61,Active,20,5%,179%,1,2,1,2,2,8,Medium Risk
LOAN000067,CUST00067,48,Unemployed,115074,Lagos,706,Business,468089,21.78,36,15834.41,201890.95,266198.05,Active,10,14%,407%,1,1,1,3,3,9,Medium Risk
LOAN000068,CUST00068,28,Self-employed,1025246,Port Harcourt,835,Personal,1658301,12.38,36,51766.63,786321.11,871979.89,Active,0,5%,162%,1,1,1,2,2,7,Low Risk
LOAN000069,CUST00069,22,Salaried,1263589,Kano,611,Business,704221,16.52,24,34189.93,362690.72,341530.28,Active,10,3%,56%,1,2,1,1,1,6,Low Risk
LOAN000070,CUST00070,54,Self-employed,263702,Lagos,502,Education,682464,22.01,36,23129.84,678406.86,4057.14,Delinquent,81,9%,259%,1,3,5,3,2,14,High Risk
LOAN000071,CUST00071,49,Salaried,1167247,Lagos,806,Emergency,827143,6.38,18,48884.15,676799.82,150343.18,Active,30,4%,71%,1,1,1,1,1,5,Low Risk
LOAN000072,CUST00072,57,Self-employed,809563,Kano,672,Emergency,1787925,14.19,12,170135.96,478725.91,1309199.09,Active,20,21%,221%,1,2,1,3,2,9,Medium Risk
LOAN000073,CUST00073,23,Salaried,1024910,Port Harcourt,743,Emergency,1583073,16.85,18,102767.82,1310728.78,272344.22,Delinquent,84,10%,154%,1,1,5,2,1,10,Medium Risk
LOAN000074,CUST00074,38,Self-employed,561418,Abuja,491,Emergency,1245061,17.21,24,60805.67,471772.02,773288.98,Active,30,11%,222%,1,3,1,3,2,10,Medium Risk
LOAN000075,CUST00075,53,Salaried,494847,Lagos,685,Business,591804,11.81,36,18380.45,536519.13,55284.87,Delinquent,48,4%,120%,1,2,5,2,1,11,Medium Risk
LOAN000076,CUST00076,46,Salaried,229543,Lagos,691,Personal,902341,14.77,12,86301.4,744564.74,157776.26,Active,30,38%,393%,2,2,1,3,1,9,Medium Risk
LOAN000077,CUST00077,45,Salaried,667056,Kano,677,Education,1500782,9.87,36,45803.03,819415.84,681366.16,Active,20,7%,225%,1,2,1,3,1,8,Medium Risk
LOAN000078,CUST00078,38,Self-employed,787800,Lagos,564,Business,618152,11.13,12,57246.03,517963,100189,Active,10,7%,78%,1,3,1,1,2,8,Medium Risk
LOAN000079,CUST00079,51,Salaried,451690,Kano,706,Education,1065438,10.53,36,32711.91,1278525.6,0,Closed,0,7%,236%,1,1,1,3,1,0,Loan Closed
LOAN000080,CUST00080,35,Self-employed,260818,Lagos,728,Personal,671273,9.55,12,61281.63,263547.79,407725.21,Active,10,23%,257%,1,1,1,3,2,8,Medium Risk
LOAN000081,CUST00081,54,Salaried,1210477,Port Harcourt,744,Emergency,314827,17.76,24,15447.51,144063.42,170763.58,Active,0,1%,26%,1,1,1,1,1,5,Low Risk
LOAN000082,CUST00082,48,Salaried,1053936,Lagos,551,Personal,436638,24.31,18,30154.71,479244.56,0,Closed,0,3%,41%,1,3,1,1,1,0,Loan Closed
LOAN000083,CUST00083,27,Salaried,890344,Abuja,699,Education,1260101,17.59,6,246958.79,1309261.12,0,Closed,0,28%,142%,1,2,1,2,1,0,Loan Closed
LOAN000084,CUST00084,51,Unemployed,228637,Ibadan,850,Emergency,298410,16.16,24,14443.04,297400.79,1009.21,Active,10,6%,131%,1,1,1,2,3,8,Medium Risk
LOAN000085,CUST00085,57,Salaried,978453,Lagos,559,Business,1284226,24.8,18,89039.67,868629.36,415596.64,Active,0,9%,131%,1,3,1,2,1,8,Medium Risk
LOAN000086,CUST00086,28,Salaried,1361800,Lagos,552,Emergency,1435018,6.62,12,127501.35,693322.73,741695.27,Active,0,9%,105%,1,3,1,2,1,8,Medium Risk
LOAN000087,CUST00087,62,Self-employed,994774,Ibadan,690,Personal,1035477,10.83,12,95634.93,752656.64,282820.36,Active,20,10%,104%,1,2,1,2,2,8,Medium Risk
LOAN000088,CUST00088,45,Salaried,1491550,Lagos,749,Business,604811,20.76,36,20288.05,503811.94,100999.06,Active,10,1%,41%,1,1,1,1,1,5,Low Risk
LOAN000089,CUST00089,56,Salaried,1408188,Kano,824,Education,607071,21.53,6,122962.23,457671.17,149399.83,Active,20,9%,43%,1,1,1,1,1,5,Low Risk
LOAN000090,CUST00090,52,Salaried,970971,Ibadan,850,Emergency,1494262,11.08,24,69159.43,1002056.51,492205.49,Defaulted,154,7%,154%,1,1,11,2,1,16,High Risk
LOAN000091,CUST00091,23,Salaried,218698,Abuja,547,Personal,1915254,13.64,18,120916.37,1795934.07,119319.93,Active,0,55%,876%,3,3,1,3,1,11,Medium Risk
LOAN000092,CUST00092,35,Self-employed,1459876,Abuja,707,Emergency,1258477,5.8,12,110955.72,539549.68,718927.32,Active,30,8%,86%,1,1,1,1,2,6,Low Risk
LOAN000093,CUST00093,28,Self-employed,1381240,Port Harcourt,735,Emergency,241349,14.4,24,11504.3,164831.99,76517.01,Active,0,1%,17%,1,1,1,1,2,6,Low Risk
LOAN000094,CUST00094,38,Salaried,1089073,Port Harcourt,641,Education,889809,21.27,36,29974.2,793684.08,96124.92,Active,0,3%,82%,1,2,1,1,1,6,Low Risk
LOAN000095,CUST00095,44,Unemployed,293105,Lagos,468,Business,897616,22.3,6,182964.06,445183.32,452432.68,Active,30,62%,306%,3,3,1,3,3,13,High Risk
LOAN000096,CUST00096,35,Salaried,1137246,Kano,752,Business,1636376,14.97,24,78389.23,1008082.09,628293.91,Delinquent,44,7%,144%,1,1,5,2,1,10,Medium Risk
LOAN000097,CUST00097,33,Salaried,654040,Abuja,500,Education,1514336,14.69,6,289465.33,1233014.96,281321.04,Defaulted,167,44%,232%,3,3,11,3,1,21,High Risk
LOAN000098,CUST00098,59,Salaried,1205193,Abuja,696,Emergency,905618,6.86,6,161290.57,726264.23,179353.77,Active,0,13%,75%,1,2,1,1,1,6,Low Risk
LOAN000099,CUST00099,47,Salaried,662078,Kano,668,Business,623413,13.31,24,29432.89,302257.29,321155.71,Defaulted,121,4%,94%,1,2,11,1,1,16,High Risk
LOAN000100,CUST00100,44,Salaried,854438,Port Harcourt,512,Education,1306985,15.16,12,125426.99,1003062.13,303922.87,Delinquent,48,15%,153%,1,3,5,2,1,12,High Risk
LOAN000101,CUST00101,27,Salaried,55379,Ibadan,717,Emergency,676116,21.75,36,22865.87,579658.73,96457.27,Defaulted,152,41%,1221%,3,1,11,3,1,19,High Risk
LOAN000102,CUST00102,38,Salaried,773777,Abuja,776,Business,1649859,15.87,24,79653.82,1773458.8,0,Closed,0,10%,213%,1,1,1,3,1,0,Loan Closed
LOAN000103,CUST00103,63,Salaried,1249146,Ibadan,537,Emergency,1845189,20.51,6,370606.21,621273.64,1223915.36,Active,30,30%,148%,1,3,1,2,1,8,Medium Risk
LOAN000104,CUST00104,50,Self-employed,1441856,Kano,711,Education,1417382,24.62,24,73597.56,1282037.02,135344.98,Defaulted,106,5%,98%,1,1,11,1,2,16,High Risk
LOAN000105,CUST00105,44,Self-employed,260479,Abuja,850,Personal,973389,6.99,24,43392.87,880444.28,92944.72,Active,10,17%,374%,1,1,1,3,2,8,Medium Risk
LOAN000106,CUST00106,61,Self-employed,1034593,Kano,786,Emergency,605793,11.77,24,28212.28,558097.19,47695.81,Active,20,3%,59%,1,1,1,1,2,6,Low Risk
LOAN000107,CUST00107,20,Self-employed,714086,Kano,728,Personal,1911093,20.19,36,63803.96,1980275.58,0,Closed,0,9%,268%,1,1,1,3,2,0,Loan Closed
LOAN000108,CUST00108,24,Self-employed,542348,Lagos,741,Emergency,1981328,10.75,12,182860.06,1298600.47,682727.53,Delinquent,58,34%,365%,2,1,5,3,2,13,High Risk
LOAN000109,CUST00109,40,Self-employed,398892,Port Harcourt,621,Emergency,1944617,5.58,18,114062.59,1007608.03,937008.97,Delinquent,49,29%,488%,1,2,5,3,2,13,High Risk
LOAN000110,CUST00110,57,Salaried,355281,Ibadan,659,Business,914135,16.32,12,88610.15,552494.91,361640.09,Active,0,25%,257%,1,2,1,3,1,8,Medium Risk
LOAN000111,CUST00111,47,Unemployed,1093683,Port Harcourt,425,Personal,350139,9.64,18,21327.36,420166.8,0,Closed,0,2%,32%,1,3,1,1,3,0,Loan Closed
LOAN000112,CUST00112,55,Unemployed,1025706,Port Harcourt,456,Emergency,1471053,15.93,6,284231.96,1406147.28,64905.72,Active,20,28%,143%,1,3,1,2,3,10,Medium Risk
LOAN000113,CUST00113,33,Salaried,1497692,Ibadan,780,Education,1822730,11.04,24,84331.64,1108986.19,713743.81,Delinquent,37,6%,122%,1,1,5,2,1,10,Medium Risk
LOAN000114,CUST00114,56,Salaried,1255467,Ibadan,520,Education,1516494,10.9,24,70074.66,1166614.58,349879.42,Active,0,6%,121%,1,3,1,2,1,8,Medium Risk
LOAN000115,CUST00115,58,Self-employed,532593,Lagos,731,Personal,788870,9.38,12,71905.5,422368.01,366501.99,Active,10,14%,148%,1,1,1,2,2,7,Low Risk
LOAN000116,CUST00116,38,Self-employed,697879,Ibadan,675,Business,119970,16.59,12,11656.09,63690.87,56279.13,Active,20,2%,17%,1,2,1,1,2,7,Low Risk
LOAN000117,CUST00117,28,Salaried,471097,Port Harcourt,571,Emergency,1181220,22.53,18,80408.27,902064.11,279155.89,Active,20,17%,251%,1,3,1,3,1,9,Medium Risk
LOAN000118,CUST00118,22,Self-employed,668956,Abuja,726,Business,760337,21.08,24,38359,912404.4,0,Closed,0,6%,114%,1,1,1,2,2,0,Loan Closed
LOAN000119,CUST00119,18,Self-employed,1468353,Port Harcourt,672,Personal,883432,24.35,36,30515.21,125851.27,757580.73,Active,30,2%,60%,1,2,1,1,2,7,Low Risk
LOAN000120,CUST00120,24,Salaried,1003755,Abuja,752,Emergency,1620791,18.45,36,53328.53,893807.99,726983.01,Active,20,5%,161%,1,1,1,2,1,6,Low Risk
LOAN000121,CUST00121,58,Self-employed,102480,Ibadan,636,Education,1227356,11.56,36,38034.4,628705.47,598650.53,Active,0,37%,1198%,2,2,1,3,2,10,Medium Risk
LOAN000122,CUST00122,25,Salaried,1411553,Lagos,753,Business,343133,5.91,6,60568.69,309333.09,33799.91,Active,30,4%,24%,1,1,1,1,1,5,Low Risk
LOAN000123,CUST00123,44,Salaried,1177316,Lagos,609,Emergency,1001359,12.42,36,31270.22,390440.97,610918.03,Active,10,3%,85%,1,2,1,1,1,6,Low Risk
LOAN000124,CUST00124,33,Salaried,1341116,Port Harcourt,571,Personal,636657,5.65,18,37368.23,386779.57,249877.43,Active,30,3%,47%,1,3,1,1,1,7,Low Risk
LOAN000125,CUST00125,21,Salaried,1487975,Ibadan,698,Education,1940994,24.56,18,134316.78,2329192.8,0,Closed,0,9%,130%,1,2,1,2,1,0,Loan Closed
LOAN000126,CUST00126,21,Unemployed,448057,Port Harcourt,760,Business,1828454,21.48,6,370200.99,679700.01,1148753.99,Active,0,83%,408%,3,1,1,3,3,11,Medium Risk
LOAN000127,CUST00127,31,Self-employed,314081,Kano,773,Business,480347,6.37,36,14192.92,576416.4,0,Closed,0,5%,153%,1,1,1,2,2,0,Loan Closed
LOAN000128,CUST00128,26,Salaried,538633,Kano,591,Education,359443,20.77,36,12058.31,105744.18,253698.82,Active,10,2%,67%,1,3,1,1,1,7,Low Risk
LOAN000129,CUST00129,40,Salaried,415946,Abuja,565,Education,1867072,5.52,6,328355.73,2109928.3,0,Closed,0,79%,449%,3,3,1,3,1,0,Loan Closed
LOAN000130,CUST00130,48,Salaried,83095,Ibadan,742,Education,159888,7.54,24,7164.31,141204.42,18683.58,Active,0,9%,192%,1,1,1,2,1,6,Low Risk
LOAN000131,CUST00131,47,Salaried,1126338,Lagos,642,Personal,997924,15.08,36,31900.3,470941.15,526982.85,Active,20,3%,89%,1,2,1,1,1,6,Low Risk
LOAN000132,CUST00132,22,Self-employed,1054497,Lagos,527,Education,943960,18.72,24,46694.55,0,943960,Delinquent,59,4%,90%,1,3,5,1,2,12,High Risk
LOAN000133,CUST00133,42,Salaried,1325692,Kano,500,Education,314642,10.5,36,9657.76,212140.94,102501.06,Active,20,1%,24%,1,3,1,1,1,7,Low Risk
LOAN000134,CUST00134,59,Salaried,1001510,Kano,478,Business,952193,6.98,6,169776.01,1142631.6,0,Closed,0,17%,95%,1,3,1,1,1,0,Loan Closed
LOAN000135,CUST00135,38,Salaried,951922,Ibadan,665,Education,529185,13.28,24,24977.53,327029.27,202155.73,Active,0,3%,56%,1,2,1,1,1,6,Low Risk
LOAN000136,CUST00136,22,Salaried,1444832,Lagos,477,Personal,370107,18.74,24,18311.04,437607.85,0,Closed,0,1%,26%,1,3,1,1,1,0,Loan Closed
LOAN000137,CUST00137,53,Salaried,245517,Lagos,651,Education,1611516,19.78,12,160856.16,1770974.1,0,Closed,0,66%,656%,3,2,1,3,1,0,Loan Closed
LOAN000138,CUST00138,21,Salaried,1455119,Port Harcourt,705,Education,791548,22.47,24,40392.03,360587.64,430960.36,Delinquent,77,3%,54%,1,1,5,1,1,9,Medium Risk
LOAN000139,CUST00139,40,Salaried,787455,Kano,577,Education,1114121,9.25,24,50715.72,902123.73,211997.27,Active,0,6%,141%,1,3,1,2,1,8,Medium Risk
LOAN000140,CUST00140,57,Self-employed,290931,Kano,603,Personal,1253974,9.52,24,57223.01,966739.5,287234.5,Delinquent,80,20%,431%,1,2,5,3,2,13,High Risk
LOAN000141,CUST00141,39,Unemployed,1327154,Port Harcourt,729,Personal,1789505,18.87,6,354530.77,1403070.71,386434.29,Active,20,27%,135%,1,1,1,2,3,8,Medium Risk
LOAN000142,CUST00142,27,Self-employed,430435,Lagos,501,Personal,1237661,18.15,6,243716.08,1485193.2,0,Closed,0,57%,288%,3,3,1,3,2,0,Loan Closed
LOAN000143,CUST00143,41,Salaried,1162502,Port Harcourt,415,Education,930452,14.07,12,88447.22,1116542.4,0,Closed,0,8%,80%,1,3,1,1,1,0,Loan Closed
LOAN000144,CUST00144,61,Salaried,1240329,Lagos,720,Education,1902502,6.05,12,168133.61,1340245.07,562256.93,Delinquent,34,14%,153%,1,1,5,2,1,10,Medium Risk
LOAN000145,CUST00145,40,Self-employed,979275,Ibadan,575,Personal,1068506,17.14,24,52152,891451.95,177054.05,Active,0,5%,109%,1,3,1,2,2,9,Medium Risk
LOAN000146,CUST00146,56,Self-employed,644010,Lagos,590,Personal,1293892,14.73,18,82471.24,889632.69,404259.31,Active,30,13%,201%,1,3,1,3,2,10,Medium Risk
LOAN000147,CUST00147,18,Salaried,478706,Ibadan,751,Emergency,492989,20.35,18,32961.79,282576.65,210412.35,Active,0,7%,103%,1,1,1,2,1,6,Low Risk
LOAN000148,CUST00148,22,Salaried,418458,Ibadan,566,Personal,1166906,19.07,36,38595.42,1000160.55,166745.45,Active,20,9%,279%,1,3,1,3,1,9,Medium Risk
LOAN000149,CUST00149,54,Salaried,964818,Ibadan,686,Emergency,1981817,6.56,18,117323.57,2021215.45,0,Closed,0,12%,205%,1,2,1,3,1,0,Loan Closed
LOAN000150,CUST00150,62,Salaried,1392474,Port Harcourt,725,Personal,291536,13.1,18,18318.18,289745.57,1790.43,Active,30,1%,21%,1,1,1,1,1,5,Low Risk
LOAN000151,CUST00151,37,Self-employed,965850,Port Harcourt,582,Business,560271,13.71,24,26545.17,280864.69,279406.31,Active,30,3%,58%,1,3,1,1,2,8,Medium Risk
LOAN000152,CUST00152,40,Self-employed,748495,Port Harcourt,723,Business,210179,15.21,6,40357.87,204753.88,5425.12,Active,10,5%,28%,1,1,1,1,2,6,Low Risk
